,Name,main_category,sub_category,Image,link,ratings,no_of_ratings,discount_price,actual_price
47,Parker Vector Standard Fountain Pen Chrome Trim Fine Nib with 3 Free Ink Cart | Body Color - Orange | Ink Color - Blue,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51COZSbf-SL._AC_UL800_.jpg,https://www.amazon.in/Parker-Vector-9000023210-Standard-Fountain/dp/B01L1YZYAY/ref=sr_1_5049?qid=1679133967&s=electronics&sr=1-5049,4.1,"6,641",₹319,₹375
48,"Portronics Radian 16W Bluetooth Stereo Soundbar with Multicolour LED Lights, in-Built FM Radio, Built in Mic, Aux in 3.5m...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61UH3naCNBL._AC_UL800_.jpg,https://www.amazon.in/Portronics-Radian-Bluetooth-Soundbar-Multicolour/dp/B0BGSSDQYG/ref=sr_1_5050?qid=1679133967&s=electronics&sr=1-5050,3.5,143,"₹1,249","₹3,999"
49,"TAGG Verve Sense Smartwatch with 1.70'' Large Display, Real SPO2, and Real-Time Heart Rate Tracking, 7 Days Battery Backu...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51i0+DJKlLL._AC_UL800_.jpg,https://www.amazon.in/TAGG-Verve-Sense-Smartwatch-Waterproof/dp/B09Q3SHYJ6/ref=sr_1_5051?qid=1679133967&s=electronics&sr=1-5051,3.7,"2,068",₹999,"₹6,999"
50,"Archer Tech Lab, Squall 300 RGB Gaming Laptop Cooling Pad with Aluminium Metal Grid, 5 Turbo Fans, Dual USB Ports, 7 Adjus...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/612kR+1kb6L._AC_UL800_.jpg,https://www.amazon.in/Archer-Tech-Lab-Aluminium-Adjustable/dp/B0B6P3PRQR/ref=sr_1_5052?qid=1679133967&s=electronics&sr=1-5052,4,166,"₹2,463","₹8,140"
51,"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Contr...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61CqYq+xwNL._AC_UL800_.jpg,https://www.amazon.in/Logitech-H390-USB-Headset-Black/dp/B000UXZQ42/ref=sr_1_5053?qid=1679133967&s=electronics&sr=1-5053,4.1,"46,635","₹3,995","₹4,695"
52,"BLAST INN USB OTG for iPhone/iPad, Compatible with iOS 14 and Later, USB Female Support Connect USB Flash Drive, Keyboard,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/418K7CsEWQL._AC_UL800_.jpg,https://www.amazon.in/BLAST-INN-Compatible-Keyboard-Converter/dp/B0917GPXND/ref=sr_1_5054?qid=1679133967&s=electronics&sr=1-5054,4.1,191,₹599,₹899
53,Paroxysm Spy Pen Hidden Mini Camera with Audio/Video Recorder 32GB Supportable Multifunction Home Security Rechargeable Bu...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/31JH+hBMrOS._AC_UL800_.jpg,https://www.amazon.in/Paroxysm-Supportable-Multifunction-Rechargeable-Monitoring/dp/B09N3NZSGT/ref=sr_1_5055?qid=1679133967&s=electronics&sr=1-5055,1.3,5,₹699,"₹1,999"
54,Generic Compatible Lg ac Remote (Pack of 1),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41ddnzf+U8L._AC_UL800_.jpg,https://www.amazon.in/Avi-Global-Lg-Remote-Origanal/dp/B092T7PQ21/ref=sr_1_5056?qid=1679133967&s=electronics&sr=1-5056,3.8,54,₹369,₹499
55,Mi Business Casual 21L Water Resistant Laptop Backpack (Blue),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81DOFN6Rf0L._AC_UL800_.jpg,https://www.amazon.in/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH/ref=sr_1_5057?qid=1679133967&s=electronics&sr=1-5057,4.4,"6,160","₹1,018","₹1,999"
56,"Lenovo Tab M10 HD 2nd Gen (10.1 inch (25.65 cm), 3 GB, 32 GB, Wi-Fi) with Metallic Body and Octa Core Processor","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41jdvXSoeyS._AC_UL800_.jpg,https://www.amazon.in/Lenovo-25-65-Wi-Fi-Metallic-Processor/dp/B0BGJ8R7DX/ref=sr_1_5058?qid=1679133967&s=electronics&sr=1-5058,4.1,"2,233","₹11,998","₹20,000"
